test_id,layer,requirements,result,classification,duration_ms,name,details
MF-P62-006,manifest,TST-004|BLD-007,PASS,PASS_EXACT,0,Development build excludes qualification tests,"{""component"":""component.dev.diagnostics"",""diagnosticsModule"":""diagnostics.dev.panel"",""includesPlotting"":true,""includesTesting"":false}"
MF-P62-007,manifest,BLD-007|PLT-010,PASS,PASS_EXACT,0,Development build retains optional plotting,"{""component"":""component.dev.diagnostics"",""diagnosticsModule"":""diagnostics.dev.panel"",""includesPlotting"":true,""includesTesting"":false}"
MF-P62-008,manifest,AIG-004|AIG-006,PASS,PASS_EXACT,0,Mutation suite covers dependency failures,"{""cases"":[""duplicate_module_id"",""unknown_dependency"",""dependency_cycle"",""missing_placeholder"",""production_test_leak"",""launcher_order""]}"
MF-P62-009,manifest,AIG-004|TST-004,PASS,PASS_EXACT,0,Mutation suite covers bundle safety failures,"{""cases"":[""duplicate_module_id"",""unknown_dependency"",""dependency_cycle"",""missing_placeholder"",""production_test_leak"",""launcher_order""]}"
MF-P62-010,manifest,AIG-004|BLD-010,PASS,PASS_EXACT,0.29999998211860657,Mutation suite covers launcher ordering,"{""cases"":[""duplicate_module_id"",""unknown_dependency"",""dependency_cycle"",""missing_placeholder"",""production_test_leak"",""launcher_order""]}"
MF-P63-001,manifest,BLD-012,PASS,PASS_EXACT,0,P6.3 reproducibility enforcement is declared,"{""reproducibilityEnforced"":true,""productionValidateOnly"":true,""acceptedArtifactContract"":true,""staleArtifactDetection"":true}"
MF-P63-002,manifest,BLD-010,PASS,PASS_EXACT,0,Production launcher uses validate-only policy,"{""launcher"":""app/starter_main.sce"",""validateOnly"":true}"
MF-P63-003,manifest,BLD-009|BLD-011,PASS,PASS_EXACT,0,Accepted production artifact contract is declared,"{""contract"":""browser_files/dist/production_acceptance.json""}"
MF-P63-004,manifest,BLD-008|BLD-012,PASS,PASS_EXACT,0,Reproducibility report is declared,"{""report"":""browser_files/dist/reproducibility_report.json""}"
MF-P63-005,manifest,BLD-010|BLD-011,PASS,PASS_EXACT,0,Stale artifact detection is active,"{""reproducibilityEnforced"":true,""productionValidateOnly"":true,""acceptedArtifactContract"":true,""staleArtifactDetection"":true}"
MF-P63-006,manifest,BLD-007|BLD-010,PASS,PASS_EXACT,0,Qualification and production launch policies are distinct,"{""qualification"":""app/main.sce"",""production"":""app/starter_main.sce""}"
MF-P63-007,manifest,TST-001|BLD-008,PASS,PASS_EXACT,0,P6.3 acceptance inventory expands P6.2,"{""declared"":167,""baseline"":157}"
MF-P63-008,manifest,BLD-003|BLD-011,PASS,PASS_EXACT,0,Production validation has required structural markers,"{""structuralValidation"":true}"
MF-P64-001,manifest,BLD-008|AIG-003,PASS,PASS_EXACT,0.10000002384185791,P6.4 canonical package inventory is declared,"{""report"":""package_inventory.json""}"
MF-P64-002,manifest,BLD-012|AIG-006,PASS,PASS_EXACT,0,Deterministic archive policy is active,"{""tool"":""tools/packaging/package_p64.py""}"
MF-P64-003,manifest,BLD-001|BLD-008,PASS,PASS_EXACT,0,Generated Python caches are excluded,"{""cacheExclusion"":true}"
